Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0063,0.0185,0.9887,1.5400,-1.1900,-2.3800
0.0063,0.0185,0.9887,1.5400,-1.1900,-2.3800
0.0098,0.0122,0.9911,1.8200,-1.1900,IMU initialize
0.5139,0.0376,0.7022,0.2800,127.1900,-6.3000
0.5017,-0.0166,0.7608,7.3500,145.6000,-13.5800
0.4724,-0.0190,0.8145,5.4600,161.8400,-19.6000
0.4382,-0.0181,0.9150,-1.3300,171.5000,-26.7400
0.3792,-0.0073,0.9223,-11.5500,181.7200,-31.0800
0.3904,0.0356,0.8545,-27.1600,190.1900,-31.9900
0.3689,0.0566,0.7998,-31.5000,199.7100,-28.8400
0.3387,0.0600,0.7969,-27.8600,205.3800,-22.3300
0.3001,0.0493,0.8667,-19.7400,208.1100,-17.5000
0.2567,0.0786,0.8916,-12.5300,208.5300,-11.6200
0.2191,0.0483,0.9399,-5.3900,208.1100,-8.7500
0.1610,0.0312,0.9594,3.0800,205.8000,-6.3700
0.1200,-0.0005,0.9482,6.5800,204.0500,-7.4200
0.0883,-0.0181,0.9814,11.4100,202.0900,-7.7700
0.0571,-0.0039,0.9716,10.5700,198.5200,-8.2600
0.0249,-0.0342,0.9819,6.5800,195.4400,-9.6600
-0.0366,-0.0478,0.9872,9.4500,187.6700,-10.3600
-0.0913,-0.0405,0.9101,4.9000,182.6300,-11.4800
-0.1220,-0.0630,0.7764,-3.2200,181.6500,-14.4200
-0.1527,-0.0756,0.7422,-8.8200,185.6400,-18.2000
-0.1723,-0.0410,0.7896,-11.5500,190.0500,-21.8400
-0.2054,-0.0561,0.9511,-10.6400,189.2800,-24.4300
-0.2933,-0.0288,1.0716,-15.1200,184.3100,-27.2300
-0.3113,0.0161,1.1283,-12.7400,172.2000,-26.8800
-0.3348,0.0708,1.1156,-15.6800,163.8000,-23.2400
-0.3621,0.0795,1.0443,-14.4200,154.4900,-21.0000
-0.3597,0.0649,1.0277,-9.8000,147.4200,-17.6400
-0.4089,0.0483,1.0819,-1.8900,135.0300,-14.7000
-0.4436,0.0576,1.1785,2.7300,122.7100,-11.5500
-0.4592,0.0781,1.1463,7.3500,106.6800,-9.3800
-0.4748,0.0346,1.1307,9.3100,93.9400,-7.4900
-0.5095,0.0386,1.1165,11.5500,74.5500,-7.0000
-0.5104,0.0425,1.0575,11.4100,59.3600,-5.8100
-0.5119,0.0185,1.0297,11.2000,39.5500,-5.2500
-0.5207,-0.0317,1.0365,3.9200,18.2700,-7.9800
-0.5290,-0.0244,0.9809,-10.7800,1.8200,-10.6400
-0.5017,-0.0200,0.9565,-15.7500,-18.8300,-10.9200
-0.5041,0.0020,0.9677,-17.9200,-35.3500,-9.8000
-0.5002,-0.0185,0.9453,-23.1700,-54.8100,-10.2200
-0.4948,-0.0791,0.9667,-31.7100,-70.0700,-14.2800
-0.4782,-0.0508,1.0765,-38.1500,-91.9100,-16.1000
-0.4846,-0.0566,1.1073,-40.8100,-109.9700,-16.1000
-0.4382,-0.0659,1.0668,-33.8100,-127.3300,-16.8000
-0.3787,-0.0078,1.0141,-31.4300,-134.9600,-15.6100
-0.3504,0.0156,0.9780,-31.2200,-139.9300,-13.8600
-0.3021,0.0244,0.9238,-26.7400,-141.8900,-10.5700
-0.2679,-0.0444,0.9306,-21.8400,-145.7400,-10.6400
-0.2660,-0.1327,1.0463,-17.3600,-153.7200,-11.6200
-0.3055,-0.1425,1.2678,-1.1200,-177.8000,-9.8000
-0.2533,-0.0112,1.2346,20.2300,-198.8000,-4.4100
-0.1791,-0.0122,1.0677,20.0900,-216.5800,-0.4900
-0.2333,-0.0312,1.0209,13.3700,-227.7800,0.0700
-0.1240,-0.0376,0.9877,13.7200,-234.3600,2.5200
-0.1171,0.0000,0.8506,13.7200,-235.5500,4.9000
-0.1303,0.0371,0.8306,24.0100,-234.8500,12.6000
-0.1049,0.0195,0.8345,39.7600,-232.1900,18.4100
-0.0346,-0.0854,0.9365,46.6200,-230.0200,19.6000
